categoria	nombre	unidad_nueva	porcion_antes	porcion_despues
FRUTAS	Pera	UNIDAD	170	170
FRUTAS	Pera Abate	UNIDAD	170	170
FRUTAS	Pera Blanquilla	UNIDAD	170	170
FRUTAS	Pera Conferencia	UNIDAD	170	170
FRUTAS	Pera Ecológica	UNIDAD	170	170
FRUTAS	Pera Ercolini	UNIDAD	170	170
FRUTAS	Pera Limonera	UNIDAD	170	170
FRUTAS	Pera Packham	UNIDAD	170	170
FRUTAS	Pera Rocha	UNIDAD	170	170
FRUTAS	Pera Williams	UNIDAD	170	170
FRUTAS	Plátano	UNIDAD	120	120
FRUTAS	Plátano De Canarias	UNIDAD	120	120
FRUTAS	Plátano Ecológico	UNIDAD	120	120
FRUTAS	Plátano Macho	UNIDAD	150	150
FRUTAS	Plátano Rojo	UNIDAD	120	120
FRUTAS	Pomelo	UNIDAD	250	250
FRUTAS	Pomelo Amarillo	UNIDAD	250	250
FRUTAS	Pomelo Rosa	UNIDAD	250	250
FRUTAS	Pomelo Star Ruby	UNIDAD	250	250
FRUTAS	Smoothie De Açaí	MILILITROS	250	250
FRUTAS	Smoothie De Frutas (envasado)	MILILITROS	250	250
FRUTAS	Smoothie De Mango Y Piña	MILILITROS	250	250
FRUTAS	Smoothie Verde Envasado	MILILITROS	250	250
FRUTAS	Zumo De Fruta Concentrado	MILILITROS	30	30
FRUTAS	Zumo De Lima Concentrado	MILILITROS	10	10
VERDURAS	Concentrado De Tomate	CUCHARADA	20	20
VERDURAS	Crema De Alcachofa	MILILITROS	250	250
VERDURAS	Crema De Brócoli	MILILITROS	250	250
VERDURAS	Crema De Calabacín	MILILITROS	250	250
VERDURAS	Crema De Calabaza	MILILITROS	250	250
VERDURAS	Crema De Champiñones	MILILITROS	250	250
VERDURAS	Crema De Espárragos	MILILITROS	250	250
VERDURAS	Crema De Espinacas	MILILITROS	250	250
VERDURAS	Crema De Puerro	MILILITROS	250	250
VERDURAS	Crema De Zanahoria	MILILITROS	250	250
VERDURAS	Sopa De Ajo	MILILITROS	250	250
VERDURAS	Sopa De Cebolla	MILILITROS	250	250
VERDURAS	Sopa De Fideos	MILILITROS	250	250
VERDURAS	Sopa De Miso Instantánea	MILILITROS	250	250
VERDURAS	Sopa De Tomate	MILILITROS	250	250
CEREALES	Arepa De Maíz	UNIDAD	80	80
CEREALES	Bagel	UNIDAD	90	90
CEREALES	Bagel Integral	UNIDAD	90	90
CEREALES	Baguette	REBANADA	50	50
CEREALES	Biscote	UNIDAD	15	15
CEREALES	Blinis	UNIDAD	50	25
CEREALES	Brioche	UNIDAD	50	50
CEREALES	Chapata	REBANADA	60	60
CEREALES	Ciabatta	REBANADA	60	60
CEREALES	Crepe (masa)	UNIDAD	50	50
CEREALES	Croissant	UNIDAD	60	60
CEREALES	Crumpet	UNIDAD	60	60
CEREALES	Focaccia	REBANADA	60	60
CEREALES	Galleta De Arroz Inflado	UNIDAD	10	10
CEREALES	Galleta De Arroz Y Chocolate	UNIDAD	20	20
CEREALES	Galleta De Avena	UNIDAD	25	25
CEREALES	Galleta De Espelta	UNIDAD	25	25
CEREALES	Galleta Digestive	UNIDAD	15	15
CEREALES	Galleta Ecológica De Avena	UNIDAD	25	25
CEREALES	Galleta Integral	UNIDAD	25	25
CEREALES	Galleta María	UNIDAD	25	6
CEREALES	Galleta Sin Gluten	UNIDAD	25	25
CEREALES	Galleta Tipo Oreo	UNIDAD	11	11
CEREALES	Galleta Wafer	UNIDAD	20	8
CEREALES	Gofre	UNIDAD	75	75
CEREALES	Matzo	UNIDAD	30	30
CEREALES	Muffin Inglés	UNIDAD	60	60
CEREALES	Muffin Inglés Integral	UNIDAD	60	60
CEREALES	Pan Ácimo	UNIDAD	30	30
CEREALES	Pan Bajo En Carbohidratos	REBANADA	40	40
CEREALES	Pan Blanco	REBANADA	40	40
CEREALES	Pan Candeal	REBANADA	50	50
CEREALES	Pan Cateto	REBANADA	50	50
CEREALES	Pan Chapata Con Tomate	REBANADA	60	60
CEREALES	Pan Crujiente De Centeno	UNIDAD	15	15
CEREALES	Pan De Aceitunas	REBANADA	40	40
CEREALES	Pan De Barra	REBANADA	50	50
CEREALES	Pan De Centeno	REBANADA	40	40
CEREALES	Pan De Centeno Integral	REBANADA	40	40
CEREALES	Pan De Centeno Pumpernickel	REBANADA	40	40
CEREALES	Pan De Cristal	REBANADA	30	30
CEREALES	Pan De Espelta	REBANADA	40	40
CEREALES	Pan De Hamburguesa	UNIDAD	60	60
CEREALES	Pan De Hogaza	REBANADA	50	50
CEREALES	Pan De Leña	REBANADA	50	50
CEREALES	Pan De Maíz	REBANADA	50	50
CEREALES	Pan De Masa Madre	REBANADA	50	50
CEREALES	Pan De Masa Madre Integral	REBANADA	50	50
CEREALES	Pan De Molde Blanco	REBANADA	30	30
CEREALES	Pan De Molde Ecológico	REBANADA	30	30
CEREALES	Pan De Molde Integral	REBANADA	30	30
CEREALES	Pan De Molde Proteico	REBANADA	30	30
CEREALES	Pan De Molde Sin Corteza	REBANADA	28	28
CEREALES	Pan De Molde Sin Gluten	REBANADA	30	30
CEREALES	Pan De Nueces	REBANADA	40	40
CEREALES	Pan De Payés	REBANADA	60	60
CEREALES	Pan De Pipas	REBANADA	40	40
CEREALES	Pan De Pita Integral Grande	UNIDAD	80	80
CEREALES	Pan De Pueblo	REBANADA	50	50
CEREALES	Pan De Sarraceno	REBANADA	40	40
CEREALES	Pan De Semillas	REBANADA	40	40
CEREALES	Pan De Telera	REBANADA	60	60
CEREALES	Pan De Trigo Germinado	REBANADA	40	40
CEREALES	Pan De Viena	REBANADA	40	40
CEREALES	Pan Ecológico De Espelta	REBANADA	40	40
CEREALES	Pan Ecológico Integral	REBANADA	40	40
CEREALES	Pan Integral	REBANADA	40	40
CEREALES	Pan Integral De Centeno	REBANADA	40	40
CEREALES	Pan Keto Bajo En Carbos	REBANADA	40	40
CEREALES	Pan Naan	UNIDAD	80	80
CEREALES	Pan Pita	UNIDAD	60	60
CEREALES	Pan Pita Integral	UNIDAD	60	60
CEREALES	Pan Proteico	REBANADA	40	40
CEREALES	Pan Rústico	REBANADA	50	50
CEREALES	Pan Sin Gluten	REBANADA	40	40
CEREALES	Pan Sin Sal	REBANADA	40	40
CEREALES	Pan Tostado	REBANADA	20	20
CEREALES	Pan Tostado Integral	REBANADA	20	20
CEREALES	Pancake (tortita Americana)	UNIDAD	50	50
CEREALES	Pretzel	UNIDAD	30	30
CEREALES	Regañá	UNIDAD	20	20
CEREALES	Rosquilleta	UNIDAD	25	25
CEREALES	Taco Shell	UNIDAD	15	15
CEREALES	Tortilla De Maíz	UNIDAD	30	30
CEREALES	Tortilla De Trigo	UNIDAD	60	60
CEREALES	Tortilla De Trigo Integral	UNIDAD	60	60
CEREALES	Tortita De Arroz	UNIDAD	10	10
CEREALES	Tortita De Avena	UNIDAD	30	30
CEREALES	Tortita De Maíz	UNIDAD	10	10
CEREALES	Tortita Ecológica De Arroz	UNIDAD	10	10
CEREALES	Tostada De Arroz Integral	UNIDAD	10	10
CEREALES	Tostada De Espelta	UNIDAD	20	20
CEREALES	Tostada De Maíz	UNIDAD	10	10
CEREALES	Tostada Melba	UNIDAD	15	15
CEREALES	Wrap Integral	UNIDAD	60	60
CARNES	Bacon	LONCHA	30	20
CARNES	Bacon De Pavo	LONCHA	30	20
CARNES	Cecina De Caballo	LONCHA	30	15
CARNES	Cecina De León	LONCHA	30	15
CARNES	Chopped	LONCHA	25	20
CARNES	Croqueta De Jamón (cruda)	UNIDAD	50	35
CARNES	Fiambre De Cabeza De Jabalí	LONCHA	30	20
CARNES	Fiambre De Lomo Adobado	LONCHA	30	20
CARNES	Fiambre De Pavo Con Pimienta	LONCHA	30	20
CARNES	Fiambre De Pavo Ecológico	LONCHA	30	20
CARNES	Fiambre De Pechuga De Pavo Al Horno	LONCHA	30	20
CARNES	Fiambre De Pollo Al Ajillo	LONCHA	30	20
CARNES	Fiambre De York Bajo En Grasa	LONCHA	30	20
CARNES	Fiambre Vegetal	LONCHA	30	20
CARNES	Hamburguesa De Cerdo Ibérico	UNIDAD	150	150
CARNES	Hamburguesa De Garbanzos	UNIDAD	100	100
CARNES	Hamburguesa De Lentejas	UNIDAD	100	100
CARNES	Hamburguesa De Pavo	UNIDAD	100	100
CARNES	Hamburguesa De Pollo	UNIDAD	100	100
CARNES	Hamburguesa De Pollo Empanada	UNIDAD	100	100
CARNES	Hamburguesa De Ternera	UNIDAD	100	100
CARNES	Hamburguesa De Ternera Gourmet	UNIDAD	150	150
CARNES	Hamburguesa Vegetal	UNIDAD	100	100
CARNES	Hamburguesa Vegetal De Soja	UNIDAD	100	100
CARNES	Jamón Cocido (york)	LONCHA	30	20
CARNES	Jamón Cocido Al Horno	LONCHA	30	20
CARNES	Jamón Cocido Braseado	LONCHA	30	20
CARNES	Jamón Cocido Extra	LONCHA	30	20
CARNES	Jamón De Pato	LONCHA	30	15
CARNES	Jamón Ibérico	LONCHA	30	15
CARNES	Jamón Ibérico De Bellota	LONCHA	30	15
CARNES	Jamón Ibérico De Cebo	LONCHA	30	15
CARNES	Jamón Serrano	LONCHA	30	15
CARNES	Jamón Serrano Ecológico	LONCHA	30	15
CARNES	Lacón Curado	LONCHA	30	20
CARNES	Lomo Embuchado	LONCHA	30	15
CARNES	Mini Hamburguesa De Pollo	UNIDAD	50	50
CARNES	Mortadela	LONCHA	25	25
CARNES	Mortadela Con Aceitunas	LONCHA	25	25
CARNES	Mortadela Con Pistachos	LONCHA	25	25
CARNES	Salchicha Bratwurst	UNIDAD	100	100
CARNES	Salchicha De Cerdo	UNIDAD	50	50
CARNES	Salchicha De Cerdo Y Manzana	UNIDAD	80	80
CARNES	Salchicha De Frankfurt De Pavo	UNIDAD	50	50
CARNES	Salchicha De Pavo	UNIDAD	50	50
CARNES	Salchicha De Pollo	UNIDAD	50	50
CARNES	Salchicha De Pollo Y Pavo	UNIDAD	50	50
CARNES	Salchicha De Toulouse	UNIDAD	100	100
CARNES	Salchicha Ecológica De Cerdo	UNIDAD	80	80
CARNES	Salchicha Frankfurt	UNIDAD	50	50
CARNES	Salchicha Italiana	UNIDAD	100	100
CARNES	Salchicha Merguez	UNIDAD	50	50
CARNES	Salchicha Vegetal	UNIDAD	50	50
CARNES	Salchicha Vegetal Frankfurt	UNIDAD	50	50
PESCADOS	Atún Claro En Conserva	LATA	80	52
PESCADOS	Atún En Conserva Bajo En Sal	LATA	80	52
PESCADOS	Atún En Conserva En Escabeche	LATA	80	52
PESCADOS	Atún En Lata Al Natural	LATA	80	52
PESCADOS	Atún En Lata En Aceite De Oliva	LATA	80	52
PESCADOS	Atún En Lata En Aceite Girasol	LATA	80	52
PESCADOS	Atún Msc En Conserva Al Natural	LATA	80	52
PESCADOS	Berberecho En Conserva Premium	LATA	50	60
PESCADOS	Berberechos En Conserva	LATA	50	60
PESCADOS	Bonito Del Norte En Conserva	LATA	80	52
PESCADOS	Bonito En Conserva Ecológico	LATA	80	52
PESCADOS	Caballa Al Natural En Conserva	LATA	80	85
PESCADOS	Caballa En Conserva Picante	LATA	80	85
PESCADOS	Caballa En Tomate	LATA	80	85
PESCADOS	Mejillón En Conserva Al Natural	LATA	80	65
PESCADOS	Navaja En Conserva	LATA	50	65
PESCADOS	Palitos De Pescado Congelados	UNIDAD	100	28
PESCADOS	Palitos De Surimi	UNIDAD	50	17
PESCADOS	Sardina En Conserva Al Limón	LATA	80	85
PESCADOS	Sardina En Conserva En Girasol	LATA	80	85
PESCADOS	Sardina En Conserva Premium	LATA	80	85
PESCADOS	Sardina En Tomate	LATA	80	85
PESCADOS	Sardina Msc En Conserva	LATA	80	85
PESCADOS	Surimi (palito De Cangrejo)	UNIDAD	50	17
PESCADOS	Surimi Barritas	UNIDAD	50	17
PESCADOS	Surimi En Barritas Premium	UNIDAD	50	17
PESCADOS	Varitas De Bacalao Empanadas	UNIDAD	100	28
PESCADOS	Varitas De Merluza Empanadas	UNIDAD	100	28
PESCADOS	Ventresca De Atún En Conserva	LATA	80	52
PESCADOS	Zamburiña En Conserva	LATA	50	65
PESCADOS	Zamburiña En Conserva Premium	LATA	50	65
LACTEOS	Actimel Original	UNIDAD	100	100
LACTEOS	Arroz Con Leche	UNIDAD	125	125
LACTEOS	Burrata	UNIDAD	100	125
LACTEOS	Cuajada	UNIDAD	125	125
LACTEOS	Cuajada Con Miel	UNIDAD	125	125
LACTEOS	Cuajada De Oveja	UNIDAD	125	125
LACTEOS	Dulce De Leche	CUCHARADA	20	20
LACTEOS	Flan Casero	UNIDAD	110	110
LACTEOS	Flan De Huevo	UNIDAD	110	110
LACTEOS	Helado De Dulce De Leche	CUCHARADA	80	80
LACTEOS	Kéfir	MILILITROS	250	250
LACTEOS	Kéfir De Agua	MILILITROS	250	250
LACTEOS	Kéfir De Cabra	MILILITROS	250	250
LACTEOS	Kéfir Desnatado	MILILITROS	250	250
LACTEOS	Kéfir Ecológico	MILILITROS	250	250
LACTEOS	Lassi (bebida De Yogur)	MILILITROS	250	250
LACTEOS	Leche A2	MILILITROS	250	250
LACTEOS	Leche Condensada	CUCHARADA	20	20
LACTEOS	Leche De Búfala	MILILITROS	250	250
LACTEOS	Leche De Cabra	MILILITROS	250	250
LACTEOS	Leche De Oveja	MILILITROS	250	250
LACTEOS	Leche De Yegua	MILILITROS	250	250
LACTEOS	Leche Desnatada	MILILITROS	250	250
LACTEOS	Leche Ecológica Desnatada	MILILITROS	250	250
LACTEOS	Leche Ecológica Entera	MILILITROS	250	250
LACTEOS	Leche Ecológica Semidesnatada	MILILITROS	250	250
LACTEOS	Leche En Polvo Desnatada	CUCHARADA	15	15
LACTEOS	Leche En Polvo Entera	CUCHARADA	15	15
LACTEOS	Leche Entera	MILILITROS	250	250
LACTEOS	Leche Evaporada	MILILITROS	50	50
LACTEOS	Leche Fermentada	MILILITROS	125	125
LACTEOS	Leche Fresca Desnatada	MILILITROS	250	250
LACTEOS	Leche Fresca Entera	MILILITROS	250	250
LACTEOS	Leche Fresca Semidesnatada	MILILITROS	250	250
LACTEOS	Leche Semidesnatada	MILILITROS	250	250
LACTEOS	Leche Sin Lactosa Desnatada	MILILITROS	250	250
LACTEOS	Leche Sin Lactosa Entera	MILILITROS	250	250
LACTEOS	Leche Sin Lactosa Semi	MILILITROS	250	250
LACTEOS	Mozzarella De Búfala	UNIDAD	80	125
LACTEOS	Mozzarella Ecológica	UNIDAD	80	125
LACTEOS	Mozzarella Fresca	UNIDAD	80	125
LACTEOS	Mozzarella Light	UNIDAD	80	125
LACTEOS	Nata Ecológica Para Montar	MILILITROS	30	30
LACTEOS	Nata Líquida Para Cocinar (18%)	MILILITROS	50	50
LACTEOS	Nata Para Cocinar 4%	MILILITROS	50	50
LACTEOS	Nata Para Cocinar Light	MILILITROS	50	50
LACTEOS	Nata Para Montar (35%)	MILILITROS	30	30
LACTEOS	Nata Para Repostería 38%	MILILITROS	30	30
LACTEOS	Nata Vegetal Para Cocinar	MILILITROS	50	50
LACTEOS	Natillas	UNIDAD	125	125
LACTEOS	Petit Suisse De Fresa	UNIDAD	55	55
LACTEOS	Petit Suisse Natural	UNIDAD	55	55
LACTEOS	Polo De Yogur	UNIDAD	80	80
LACTEOS	Queso De Sandwich	LONCHA	20	20
LACTEOS	Queso En Lonchas	LONCHA	20	20
LACTEOS	Queso Fundido En Lonchas	LONCHA	20	20
LACTEOS	Queso Mini Babybel	UNIDAD	22	22
LACTEOS	Queso Mozzarella String	UNIDAD	28	28
LACTEOS	Skyr	UNIDAD	150	150
LACTEOS	Yogur Alto Proteico 0%	UNIDAD	150	150
LACTEOS	Yogur Bebible 0%	MILILITROS	200	200
LACTEOS	Yogur Bebible De Frutas	MILILITROS	200	200
LACTEOS	Yogur Bebible Natural	MILILITROS	200	200
LACTEOS	Yogur Bebible Proteico	MILILITROS	300	300
LACTEOS	Yogur Bifidus Natural	UNIDAD	125	125
LACTEOS	Yogur De Almendras Natural	UNIDAD	125	125
LACTEOS	Yogur De Cabra	UNIDAD	125	125
LACTEOS	Yogur De Cabra Ecológico	UNIDAD	125	125
LACTEOS	Yogur De Cabra Natural	UNIDAD	125	125
LACTEOS	Yogur De Coco	UNIDAD	125	125
LACTEOS	Yogur De Coco Natural	UNIDAD	125	125
LACTEOS	Yogur De Limón	UNIDAD	125	125
LACTEOS	Yogur De Oveja	UNIDAD	125	125
LACTEOS	Yogur De Soja Vainilla	UNIDAD	125	125
LACTEOS	Yogur De Stracciatella	UNIDAD	125	125
LACTEOS	Yogur De Vainilla 0%	UNIDAD	125	125
LACTEOS	Yogur Ecológico Griego	UNIDAD	125	125
LACTEOS	Yogur Ecológico Natural	UNIDAD	125	125
LACTEOS	Yogur Griego	UNIDAD	125	125
LACTEOS	Yogur Griego 0%	UNIDAD	125	125
LACTEOS	Yogur Griego 2%	UNIDAD	125	125
LACTEOS	Yogur Griego Ecológico 0%	UNIDAD	125	125
LACTEOS	Yogur Griego Miel	UNIDAD	125	125
LACTEOS	Yogur Islandés (skyr)	UNIDAD	150	150
LACTEOS	Yogur Natural	UNIDAD	125	125
LACTEOS	Yogur Natural Azucarado	UNIDAD	125	125
LACTEOS	Yogur Natural Desnatado	UNIDAD	125	125
LACTEOS	Yogur Proteico	UNIDAD	150	150
HUEVOS	Clara De Huevo	UNIDAD	33	33
HUEVOS	Clara De Huevo Cocida	UNIDAD	33	33
HUEVOS	Claras De Huevo Pasteurizadas	MILILITROS	100	100
HUEVOS	Huevo A La Plancha	UNIDAD	60	60
HUEVOS	Huevo Campero	UNIDAD	63	63
HUEVOS	Huevo Cocido	UNIDAD	60	60
HUEVOS	Huevo De Codorniz	UNIDAD	10	10
HUEVOS	Huevo De Oca	UNIDAD	100	100
HUEVOS	Huevo De Pato	UNIDAD	70	70
HUEVOS	Huevo Ecológico	UNIDAD	63	63
HUEVOS	Huevo Entero (crudo)	UNIDAD	60	60
HUEVOS	Huevo Escalfado	UNIDAD	60	60
HUEVOS	Huevo Frito	UNIDAD	60	60
HUEVOS	Huevo Poché	UNIDAD	60	60
HUEVOS	Huevo Revuelto	UNIDAD	60	60
HUEVOS	Huevo Xl	UNIDAD	73	73
HUEVOS	Tortilla Francesa	UNIDAD	80	80
HUEVOS	Yema De Huevo	UNIDAD	17	17
HUEVOS	Yema De Huevo Cocida	UNIDAD	17	17
ACEITES	Aceite De Aguacate	CUCHARADA	10	10
ACEITES	Aceite De Almendras Dulces	CUCHARADA	10	10
ACEITES	Aceite De Argán	CUCHARADITA	5	5
ACEITES	Aceite De Avellana	CUCHARADA	10	10
ACEITES	Aceite De Borraja	CUCHARADITA	5	5
ACEITES	Aceite De Cacahuete	CUCHARADA	10	10
ACEITES	Aceite De Coco	CUCHARADA	10	10
ACEITES	Aceite De Coco Virgen	CUCHARADA	10	10
ACEITES	Aceite De Colza	CUCHARADA	10	10
ACEITES	Aceite De Girasol	CUCHARADA	10	10
ACEITES	Aceite De Girasol Alto Oleico	CUCHARADA	10	10
ACEITES	Aceite De Linaza	CUCHARADA	10	10
ACEITES	Aceite De Lino Bio	CUCHARADA	10	10
ACEITES	Aceite De Maíz	CUCHARADA	10	10
ACEITES	Aceite De Nuez	CUCHARADA	10	10
ACEITES	Aceite De Oliva Arbequina	CUCHARADA	10	10
ACEITES	Aceite De Oliva Hojiblanca	CUCHARADA	10	10
ACEITES	Aceite De Oliva Picual	CUCHARADA	10	10
ACEITES	Aceite De Oliva Suave	CUCHARADA	10	10
ACEITES	Aceite De Oliva Virgen	CUCHARADA	10	10
ACEITES	Aceite De Oliva Virgen Extra	CUCHARADA	10	10
ACEITES	Aceite De Onagra	CUCHARADITA	5	5
ACEITES	Aceite De Palma	CUCHARADA	10	10
ACEITES	Aceite De Pepita De Uva	CUCHARADA	10	10
ACEITES	Aceite De Semilla De Calabaza	CUCHARADA	10	10
ACEITES	Aceite De Semilla De Cáñamo	CUCHARADA	10	10
ACEITES	Aceite De Sésamo	CUCHARADA	10	10
ACEITES	Aceite De Sésamo Tostado	CUCHARADITA	5	5
ACEITES	Aceite De Soja	CUCHARADA	10	10
ACEITES	Aceite De Trufa Blanca	CUCHARADITA	5	5
ACEITES	Aceite De Trufa Negra	CUCHARADITA	5	5
ACEITES	Aceite Mct	CUCHARADA	10	10
ACEITES	Mantequilla De Cacahuete (aceite)	CUCHARADA	15	15
ACEITES	Mantequilla De Cacao	CUCHARADA	10	10
BEBIDAS	Achicoria Soluble	MILILITROS	200	200
BEBIDAS	Agua Con Gas	MILILITROS	250	250
BEBIDAS	Agua Con Limón	MILILITROS	250	250
BEBIDAS	Agua De Coco	MILILITROS	250	250
BEBIDAS	Agua De Limón Y Pepino	MILILITROS	250	250
BEBIDAS	Agua De Manantial	MILILITROS	250	250
BEBIDAS	Agua Mineral	MILILITROS	250	250
BEBIDAS	Agua Mineral Con Sabor Limón	MILILITROS	250	250
BEBIDAS	Agua Mineral Con Sabor Menta	MILILITROS	250	250
BEBIDAS	Anís	MILILITROS	30	30
BEBIDAS	Batido De Avena Y Plátano	MILILITROS	250	250
BEBIDAS	Batido De Chocolate	MILILITROS	200	200
BEBIDAS	Batido De Fresa	MILILITROS	200	200
BEBIDAS	Batido De Proteínas (listo)	MILILITROS	330	330
BEBIDAS	Batido De Vainilla	MILILITROS	200	200
BEBIDAS	Batido Verde Proteico	MILILITROS	300	300
BEBIDAS	Bebida De Almendras	MILILITROS	250	250
BEBIDAS	Bebida De Almendras Ecológica	MILILITROS	250	250
BEBIDAS	Bebida De Almendras Sin Azúcar	MILILITROS	250	250
BEBIDAS	Bebida De Alpiste	MILILITROS	250	250
BEBIDAS	Bebida De Anacardo	MILILITROS	250	250
BEBIDAS	Bebida De Arroz	MILILITROS	250	250
BEBIDAS	Bebida De Arroz Ecológica	MILILITROS	250	250
BEBIDAS	Bebida De Avellanas	MILILITROS	250	250
BEBIDAS	Bebida De Avena	MILILITROS	250	250
BEBIDAS	Bebida De Avena Barista	MILILITROS	250	250
BEBIDAS	Bebida De Avena Ecológica	MILILITROS	250	250
BEBIDAS	Bebida De Avena Sin Azúcar	MILILITROS	250	250
BEBIDAS	Bebida De Cáñamo	MILILITROS	250	250
BEBIDAS	Bebida De Coco	MILILITROS	250	250
BEBIDAS	Bebida De Coco Ecológica	MILILITROS	250	250
BEBIDAS	Bebida De Espelta	MILILITROS	250	250
BEBIDAS	Bebida De Kamut	MILILITROS	250	250
